idx_node,coordinates,network_length,land_cost,idx_town,population_served__town_0,population_served__town_1,population_served__town_2,population_served__town_3,population_served
0,"(716239.0, 3510376.0)",950.775569086,175.0,3,0.0,0.0,0.0,31.568669999999997,31.568669999999997
1,"(715063.0, 3510405.0)",635.209566381,175.0,3,0.0,0.0,0.0,144.64312999999999,144.64312999999999
2,"(716670.0, 3510663.0)",17431.565026693992,500.0,3,0.0,0.0,0.0,2372.8659799999996,2372.8659799999996
3,"(717530.0, 3510778.0)",17927.41306192298,175.0,3,0.0,0.0,0.0,3954.0140300000016,3954.0140300000016
4,"(718047.0, 3510835.0)",652.014501334,175.0,3,0.0,0.0,0.0,147.53939,147.53939
5,"(715952.0, 3510893.0)",4877.628731587001,175.0,3,0.0,0.0,0.0,1333.5413999999998,1333.5413999999998
7,"(718276.0, 3511581.0)",2921.5852275770003,175.0,3,0.0,0.0,0.0,801.5889300000001,801.5889300000001
8,"(717387.0, 3511753.0)",747.922059605,175.0,3,0.0,0.0,0.0,446.57128000000006,446.57128000000006
9,"(715465.0, 3511665.0)",857.7512818099999,175.0,3,0.0,0.0,0.0,345.63758000000007,345.63758000000007
10,"(717243.0, 3512327.0)",570.8730975450001,175.0,3,0.0,0.0,0.0,209.62668000000002,209.62668000000002
11,"(716469.0, 3512757.0)",46678.49370080686,100.0,2,0.0,0.0,68.51733000000002,2167.08807,2235.6054
12,"(715379.0, 3512958.0)",829.063463395,100.0,2,0.0,0.0,84.65182,0.0,84.65182
13,"(715981.0, 3513274.0)",21800.618349110984,100.0,2,0.0,0.0,1244.5911899999999,0.0,1244.5911899999999
14,"(715235.0, 3513331.0)",1380.2483549800002,250.0,2,0.0,0.0,133.66142000000002,0.0,133.66142000000002
15,"(715752.0, 3514106.0)",1158.5511300680002,100.0,2,0.0,0.0,247.53294999999997,0.0,247.53294999999997
16,"(716555.0, 3513647.0)",4194.887631346,25.0,0,0.0,0.0,299.7980400000001,0.0,299.7980400000001
17,"(714719.0, 3514077.0)",1055.6827398090002,300.0,2,0.0,0.0,346.22155,0.0,346.22155
18,"(716211.0, 3514163.0)",802.4144254540001,125.0,2,0.0,0.0,192.38621,0.0,192.38621
19,"(715981.0, 3514450.0)",874.55621679,125.0,2,0.0,0.0,612.0884100000002,0.0,612.0884100000002
20,"(714346.0, 3514507.0)",461.04387533000005,1000.0,2,0.0,0.0,322.62916000000007,0.0,322.62916000000007
21,"(716871.0, 3514536.0)",2766.2632519679996,25.0,2,0.0,0.0,133.53816,0.0,133.53816
22,"(715637.0, 3514651.0)",26337.576129452977,200.0,0,9605.327280000003,0.0,1594.7790000000005,0.0,11200.106280000004
23,"(716584.0, 3514880.0)",25753.276059006963,150.0,0,1915.4900899999993,0.0,914.1441599999997,0.0,2829.634249999999
24,"(715551.0, 3515856.0)",16919.261855977,350.0,0,8531.712370000003,1147.15196,0.0,0.0,9678.864330000002
25,"(714461.0, 3516143.0)",1683.9314742229997,425.0,0,1927.96295,0.0,0.0,0.0,1927.96295
26,"(716498.0, 3516315.0)",1901.5511381729998,150.0,0,75.18088,398.19155,0.0,0.0,473.37243
27,"(714059.0, 3516974.0)",9621.662474027,425.0,0,4956.821760000003,4873.317850000001,0.0,0.0,9830.139610000006
28,"(716727.0, 3517319.0)",7108.667536443,200.0,1,0.0,2387.5299299999992,0.0,0.0,2387.5299299999992
29,"(716498.0, 3517577.0)",16634.42245221,75.0,1,0.0,6003.993819999993,0.0,0.0,6003.993819999993
30,"(715264.0, 3518036.0)",19937.10444122599,150.0,1,312.49475,10900.219069999988,0.0,0.0,11212.713819999988
31,"(716727.0, 3518696.0)",31303.45198844899,200.0,0,0.0,1987.9302900000005,0.0,0.0,1987.9302900000005
32,"(714804.0, 3516774.0)",9016.829707125999,425.0,0,5111.395820000002,345.90121,0.0,0.0,5457.2970300000015
