id,X,Y,connects_to
0,716239,3510376,2
1,715063,3510405,2
2,716670,3510663,
3,717530,3510778,
4,718047,3510835,
5,715952,3510893,2
6,717243,3511352,3
7,718276,3511581,
8,717387,3511753,3
9,715465,3511665,11
10,717243,3512327,
11,716469,3512757,
12,715379,3512958,13
13,715981,3513274,11
14,715235,3513331,13
15,715752,3514106,13
16,716555,3513647,
17,714719,3514077,13
18,716211,3514163,23
19,715981,3514450,23
20,714346,3514507,
21,716871,3514536,23
22,715637,3514651,23
23,716584,3514880,
24,715551,3515856,23
25,714461,3516143,22
26,716498,3516315,
27,714059,3516974,32
28,716727,3517319,31
29,716498,3517577,31
30,715264,3518036,31
31,716727,3518696,
32,714804,3516774,24
