idx_archive,idx_evaluation,idx_generation_birth,idx_generation
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,0,0
34,34,0,0
35,35,0,0
36,36,0,0
37,37,0,0
38,38,0,0
39,39,0,0
40,40,0,0
41,41,0,0
42,42,0,0
43,43,0,0
44,44,0,0
45,45,0,0
46,46,0,0
47,47,0,0
48,48,0,0
49,49,0,0
50,50,0,0
51,51,0,0
52,52,0,0
53,53,0,0
54,54,0,0
55,55,0,0
56,56,0,0
57,57,0,0
58,58,0,0
59,59,0,0
60,60,0,0
61,61,0,0
62,62,0,0
63,63,0,0
64,64,0,0
65,65,0,0
66,66,0,0
67,67,0,0
68,68,0,0
69,69,0,0
70,70,0,0
71,71,0,0
72,72,0,0
73,73,0,0
74,74,0,0
75,75,0,0
76,76,0,0
77,77,0,0
78,78,0,0
79,79,0,0
80,80,0,0
81,81,0,0
82,82,0,0
83,83,0,0
84,84,0,0
85,85,0,0
86,86,0,0
87,87,0,0
88,88,0,0
89,89,0,0
90,90,0,0
91,91,0,0
92,92,0,0
93,93,0,0
94,94,0,0
95,95,0,0
96,96,0,0
97,97,0,0
98,98,0,0
99,99,0,0
100,195,1,1
101,89,0,1
102,103,1,1
103,69,0,1
104,113,1,1
105,120,1,1
106,172,1,1
107,132,1,1
108,149,1,1
109,186,1,1
110,12,0,1
111,109,1,1
112,143,1,1
113,27,0,1
114,81,0,1
115,182,1,1
116,127,1,1
117,129,1,1
118,192,1,1
119,171,1,1
120,16,0,1
121,165,1,1
122,146,1,1
123,177,1,1
124,194,1,1
125,100,1,1
126,30,0,1
127,138,1,1
128,159,1,1
129,118,1,1
130,76,0,1
131,196,1,1
132,197,1,1
133,123,1,1
134,0,0,1
135,42,0,1
136,38,0,1
137,77,0,1
138,72,0,1
139,157,1,1
140,3,0,1
141,114,1,1
142,136,1,1
143,5,0,1
144,133,1,1
145,1,0,1
146,125,1,1
147,82,0,1
148,148,1,1
149,130,1,1
150,61,0,1
151,189,1,1
152,179,1,1
153,173,1,1
154,190,1,1
155,102,1,1
156,151,1,1
157,166,1,1
158,141,1,1
159,110,1,1
160,44,0,1
161,88,0,1
162,90,0,1
163,99,0,1
164,191,1,1
165,111,1,1
166,116,1,1
167,152,1,1
168,26,0,1
169,47,0,1
170,105,1,1
171,83,0,1
172,14,0,1
173,50,0,1
174,9,0,1
175,115,1,1
176,29,0,1
177,145,1,1
178,163,1,1
179,28,0,1
180,181,1,1
181,37,0,1
182,92,0,1
183,108,1,1
184,85,0,1
185,198,1,1
186,137,1,1
187,51,0,1
188,24,0,1
189,84,0,1
190,93,0,1
191,139,1,1
192,57,0,1
193,124,1,1
194,55,0,1
195,199,1,1
196,135,1,1
197,58,0,1
198,160,1,1
199,180,1,1
200,213,2,2
201,273,2,2
202,103,1,2
203,200,2,2
204,225,2,2
205,219,2,2
206,69,0,2
207,120,1,2
208,186,1,2
209,172,1,2
210,262,2,2
211,223,2,2
212,12,0,2
213,226,2,2
214,238,2,2
215,195,1,2
216,89,0,2
217,251,2,2
218,182,1,2
219,81,0,2
220,267,2,2
221,232,2,2
222,224,2,2
223,27,0,2
224,249,2,2
225,294,2,2
226,171,1,2
227,239,2,2
228,113,1,2
229,269,2,2
230,109,1,2
231,132,1,2
232,242,2,2
233,260,2,2
234,100,1,2
235,220,2,2
236,244,2,2
237,143,1,2
238,264,2,2
239,129,1,2
240,296,2,2
241,146,1,2
242,149,1,2
243,288,2,2
244,165,1,2
245,279,2,2
246,202,2,2
247,252,2,2
248,222,2,2
249,233,2,2
250,282,2,2
251,192,1,2
252,207,2,2
253,274,2,2
254,221,2,2
255,16,0,2
256,285,2,2
257,284,2,2
258,177,1,2
259,287,2,2
260,38,0,2
261,241,2,2
262,77,0,2
263,261,2,2
264,196,1,2
265,205,2,2
266,278,2,2
267,254,2,2
268,127,1,2
269,206,2,2
270,299,2,2
271,215,2,2
272,194,1,2
273,0,0,2
274,265,2,2
275,159,1,2
276,138,1,2
277,30,0,2
278,240,2,2
279,76,0,2
280,123,1,2
281,197,1,2
282,257,2,2
283,118,1,2
284,277,2,2
285,42,0,2
286,82,0,2
287,148,1,2
288,130,1,2
289,234,2,2
290,72,0,2
291,266,2,2
292,157,1,2
293,114,1,2
294,210,2,2
295,295,2,2
296,271,2,2
297,1,0,2
298,214,2,2
299,125,1,2
300,375,3,3
301,273,2,3
302,103,1,3
303,318,3,3
304,399,3,3
305,219,2,3
306,376,3,3
307,225,2,3
308,325,3,3
309,338,3,3
310,384,3,3
311,120,1,3
312,333,3,3
313,12,0,3
314,226,2,3
315,320,3,3
316,238,2,3
317,348,3,3
318,186,1,3
319,223,2,3
320,332,3,3
321,213,2,3
322,382,3,3
323,308,3,3
324,316,3,3
325,69,0,3
326,109,1,3
327,314,3,3
328,328,3,3
329,172,1,3
330,249,2,3
331,327,3,3
332,262,2,3
333,321,3,3
334,344,3,3
335,200,2,3
336,362,3,3
337,89,0,3
338,360,3,3
339,232,2,3
340,224,2,3
341,326,3,3
342,113,1,3
343,391,3,3
344,300,3,3
345,132,1,3
346,269,2,3
347,379,3,3
348,378,3,3
349,369,3,3
350,239,2,3
351,304,3,3
352,264,2,3
353,195,1,3
354,260,2,3
355,143,1,3
356,349,3,3
357,267,2,3
358,322,3,3
359,27,0,3
360,251,2,3
361,302,3,3
362,171,1,3
363,129,1,3
364,398,3,3
365,294,2,3
366,364,3,3
367,317,3,3
368,149,1,3
369,192,1,3
370,182,1,3
371,146,1,3
372,288,2,3
373,165,1,3
374,279,2,3
375,312,3,3
376,335,3,3
377,352,3,3
378,393,3,3
379,222,2,3
380,319,3,3
381,254,2,3
382,244,2,3
383,330,3,3
384,396,3,3
385,345,3,3
386,350,3,3
387,392,3,3
388,16,0,3
389,242,2,3
390,274,2,3
391,370,3,3
392,202,2,3
393,252,2,3
394,296,2,3
395,81,0,3
396,346,3,3
397,303,3,3
398,394,3,3
399,241,2,3
400,375,3,4
401,273,2,4
402,318,3,4
403,471,4,4
404,103,1,4
405,459,4,4
406,427,4,4
407,333,3,4
408,225,2,4
409,376,3,4
410,490,4,4
411,325,3,4
412,410,4,4
413,219,2,4
414,403,4,4
415,440,4,4
416,213,2,4
417,308,3,4
418,456,4,4
419,382,3,4
420,316,3,4
421,402,4,4
422,314,3,4
423,401,4,4
424,384,3,4
425,328,3,4
426,399,3,4
427,458,4,4
428,120,1,4
429,12,0,4
430,498,4,4
431,320,3,4
432,186,1,4
433,238,2,4
434,226,2,4
435,436,4,4
436,348,3,4
437,223,2,4
438,483,4,4
439,200,2,4
440,332,3,4
441,362,3,4
442,454,4,4
443,497,4,4
444,428,4,4
445,478,4,4
446,477,4,4
447,249,2,4
448,391,3,4
449,455,4,4
450,109,1,4
451,446,4,4
452,499,4,4
453,467,4,4
454,431,4,4
455,300,3,4
456,422,4,4
457,172,1,4
458,321,3,4
459,492,4,4
460,113,1,4
461,89,0,4
462,195,1,4
463,360,3,4
464,302,3,4
465,69,0,4
466,414,4,4
467,344,3,4
468,27,0,4
469,462,4,4
470,379,3,4
471,364,3,4
472,132,1,4
473,182,1,4
474,326,3,4
475,327,3,4
476,378,3,4
477,452,4,4
478,338,3,4
479,404,4,4
480,438,4,4
481,264,2,4
482,260,2,4
483,335,3,4
484,251,2,4
485,417,4,4
486,143,1,4
487,322,3,4
488,232,2,4
489,224,2,4
490,267,2,4
491,461,4,4
492,349,3,4
493,469,4,4
494,398,3,4
495,239,2,4
496,242,2,4
497,480,4,4
498,491,4,4
499,192,1,4
500,575,5,5
501,375,3,5
502,559,5,5
503,564,5,5
504,318,3,5
505,557,5,5
506,427,4,5
507,547,5,5
508,512,5,5
509,592,5,5
510,376,3,5
511,529,5,5
512,410,4,5
513,502,5,5
514,544,5,5
515,459,4,5
516,403,4,5
517,103,1,5
518,508,5,5
519,273,2,5
520,213,2,5
521,401,4,5
522,471,4,5
523,534,5,5
524,537,5,5
525,545,5,5
526,540,5,5
527,314,3,5
528,506,5,5
529,519,5,5
530,456,4,5
531,225,2,5
532,590,5,5
533,585,5,5
534,498,4,5
535,200,2,5
536,514,5,5
537,440,4,5
538,533,5,5
539,580,5,5
540,504,5,5
541,520,5,5
542,382,3,5
543,362,3,5
544,558,5,5
545,219,2,5
546,490,4,5
547,402,4,5
548,325,3,5
549,120,1,5
550,399,3,5
551,12,0,5
552,333,3,5
553,599,5,5
554,186,1,5
555,562,5,5
556,332,3,5
557,195,1,5
558,308,3,5
559,27,0,5
560,560,5,5
561,477,4,5
562,478,4,5
563,543,5,5
564,497,4,5
565,249,2,5
566,316,3,5
567,446,4,5
568,598,5,5
569,507,5,5
570,538,5,5
571,505,5,5
572,581,5,5
573,384,3,5
574,516,5,5
575,536,5,5
576,321,3,5
577,320,3,5
578,109,1,5
579,328,3,5
580,521,5,5
581,492,4,5
582,517,5,5
583,226,2,5
584,458,4,5
585,89,0,5
586,335,3,5
587,454,4,5
588,553,5,5
589,455,4,5
590,242,2,5
591,569,5,5
592,428,4,5
593,69,0,5
594,391,3,5
595,567,5,5
596,300,3,5
597,348,3,5
598,500,5,5
599,379,3,5
600,614,6,6
601,375,3,6
602,688,6,6
603,655,6,6
604,626,6,6
605,403,4,6
606,609,6,6
607,649,6,6
608,318,3,6
609,564,5,6
610,697,6,6
611,559,5,6
612,529,5,6
613,459,4,6
614,671,6,6
615,686,6,6
616,544,5,6
617,502,5,6
618,410,4,6
619,103,1,6
620,603,6,6
621,676,6,6
622,592,5,6
623,427,4,6
624,642,6,6
625,575,5,6
626,661,6,6
627,557,5,6
628,545,5,6
629,652,6,6
630,512,5,6
631,677,6,6
632,376,3,6
633,225,2,6
634,590,5,6
635,273,2,6
636,672,6,6
637,687,6,6
638,547,5,6
639,508,5,6
640,648,6,6
641,213,2,6
642,537,5,6
643,635,6,6
644,534,5,6
645,540,5,6
646,666,6,6
647,640,6,6
648,580,5,6
649,621,6,6
650,622,6,6
651,638,6,6
652,533,5,6
653,382,3,6
654,519,5,6
655,633,6,6
656,599,5,6
657,314,3,6
658,636,6,6
659,585,5,6
660,471,4,6
661,498,4,6
662,456,4,6
663,200,2,6
664,440,4,6
665,514,5,6
666,332,3,6
667,362,3,6
668,682,6,6
669,506,5,6
670,402,4,6
671,399,3,6
672,693,6,6
673,401,4,6
674,601,6,6
675,643,6,6
676,492,4,6
677,629,6,6
678,608,6,6
679,625,6,6
680,694,6,6
681,520,5,6
