Total population supplied (inhab),Benefit wastewater (Total with PV summed),Total benefit reclaimed wastewater (total PV),Total benefit freshwater management (total PV),Total benefits of energy savings (total PV),Total benefits of environmental savings (total PV),Total benefits  (ILS),Total costs with wastewater (ILS PV),Total costs with reclaimed ww management (ILS),Total costs with costs freshwater in the buffer (ILS),Total costs (ILS),Costs - benefits (ILS),Coverage (region),Coverage (town),Benefits/costs,Onsite construction costs ,Onsite OeM costs (year) ,Onsite OeM costs (total) ,Benefits onsite treatment (connection fee) ,Benefits onsite treatment (sanitation fee) ,Population supplied with onsite treatment (inhabitants),Total wastewater pumping costs (ILS PV),Total land purchase costs at each WWPS (ILS) ,Centralization degree Eggiman,Centralization degree Huang,Number activated,Number WWTP,Number WWPS,idx_evaluation
57781.34297000001,30127060.01343093,50757778.3870934,634856.6129808398,40629049.783825636,32553768.93203158,171967295.1535562,156622147.73270956,15338167.05684502,2374971.3271342413,217750720.9381786,45783425.7846224,0.6804609664959078,0.6804609664959078,0.789743861295317,9299842.127217738,3282297.221370966,33083035.05679505,6783414.257499997,10481367.16669381,27133.657029999988,1032557.6374769729,0.0,0.9985437786349892,0.1827554827075185,18,12,6,0
22125.471249999988,12806499.86901711,23429110.421674605,25622.2564439964,16472505.205047308,15026383.564970754,107712254.8757935,78419949.60600324,7753525.898804249,91437.21415794671,184598641.45116624,76886386.57537274,0.26056022198669243,0.26056022198669243,0.5834942989235796,21520604.611895166,7595507.510080647,76556882.05018534,15697382.187500004,24254751.37113972,62789.52875000001,256242.07012031894,0.0,0.9961738801148255,0.28242746546328523,16,13,3,1
58369.480149999996,31678925.902167823,55188555.79634953,483564.85993975407,44020245.26713919,35395471.39722194,183657320.8610729,157419969.98843953,19283055.324692007,1839224.225212352,220537457.6787784,36880136.81770551,0.6873871536242124,0.6873871536242124,0.8327715517995002,9098262.851814516,3211151.5947580645,32365941.78320383,6636379.9625,10254177.675754638,26545.519850000004,531003.5054161644,0.0,0.9984586812473124,0.17329855576637776,18,13,5,2
27585.467259999998,15313442.78190316,27157040.91938153,1317682.7942633063,18988210.018676084,17417311.455697414,116671699.42311127,119863230.65733646,9486610.65116103,5007202.062079601,224925033.67210418,108253334.2489929,0.3248597687098863,0.3248597687098863,0.5187137132685521,19649235.01169355,6935024.121774194,69899716.77352998,14332383.185,22145628.268189773,57329.53274,1019038.5163035248,0.0,0.9980859944582856,0.2631146085110572,14,8,6,3
58157.44658,30721726.34538177,52340997.33235599,1475868.866628975,40305495.85676641,33569174.75456061,175438734.9058425,184514926.0042632,16271746.55726302,5602422.6149882525,249054374.75882685,73615639.85298434,0.6848901440263794,0.6848901440263794,0.7044194067087942,9170935.64798387,3236800.8169354834,32624466.243130904,6689388.3549999995,10336083.395148735,26757.553419999997,869877.6911976445,0.0,0.9982013788723261,0.19313236955814328,20,15,5,4
51120.416310000015,26595611.057776168,44722764.74912073,1334453.6692756412,34851752.64209501,28683181.0986961,157690802.78455248,148888058.0524093,12890471.667439638,5049461.459864817,219915103.1591451,62224300.3745926,0.6020186811517402,0.6020186811517402,0.717053083300227,11582821.022782253,4088054.4786290308,41204449.35638167,8448645.922499996,13054393.64508884,33794.583689999985,299841.6002674123,0.0,0.9988434186505327,0.2797705893847965,12,9,3,5
17347.097779999993,9667383.567722954,17195677.10860425,1600143.8380146415,12977555.24370106,11028538.226284318,95461846.38389692,67806358.08386941,9967919.312602023,6071194.808518718,190506862.59995067,95045016.21605375,0.20428779108520276,0.20428779108520276,0.5010940030247584,23158353.58346774,8173536.5588709675,82382970.91272555,16891975.555,26100572.84456971,67567.90222,1120065.898767233,0.0,0.9960329234245281,0.3241085408434281,13,10,3,6
52140.20115,28111723.47287964,48712894.550325386,578764.5749769717,36011167.93031941,31242271.895906,165510986.5992381,149725398.41365004,14342480.136308447,2138726.9453139277,218135945.7995819,52624959.20034379,0.6140281593358065,0.6140281593358065,0.7587515482262867,11233297.992943548,3964693.4092741935,39961064.52348552,8193699.7125,12660464.462330686,32774.79885,734977.7878804355,0.0,0.9980960339432,0.271332612193349,20,13,7,7
9827.13872,5576921.791688618,10056776.517937806,1349684.4757442588,4589253.179812253,6449966.672482962,75799999.95554546,68711639.8783488,5402395.461664805,5093764.156248842,196777579.10040018,120977579.14485472,0.11572912583171407,0.11572912583171407,0.3852064869487527,25735758.906451613,9083209.025806451,91551770.71485247,18771965.32,29005431.99787956,75087.86128,282249.98283366364,0.0,0.9960297364724687,0.30344435768679084,10,6,4,8
47906.33205000001,25475421.110715404,43645890.07127481,1341476.4391018925,33345894.390210424,27992521.84320225,155349322.05511713,153155095.0542579,12866386.75744867,5077922.7454718435,230067631.5879439,74718309.53282678,0.5641680745451335,0.5641680745451335,0.6752332824173681,12684422.4828629,4476854.993951611,45123259.93659608,9252166.987499997,14295951.213112373,37008.66794999999,1160544.6113065083,0.0,0.9984009205685747,0.1889649309583403,20,11,9,9
64441.855659999994,34234097.978223845,58602380.87170718,815041.9676503779,47705133.71746661,37584946.118318625,191968387.33771467,148362848.94507298,17778676.125631362,3064309.546780847,202218847.92732108,10250460.589606404,0.7588983767296708,0.7588983767296708,0.949310063356258,7017005.11653226,2476590.041129033,24962125.495069902,5118286.085000002,7908500.599348048,20473.144340000006,1033882.6982337167,0.0,0.9984166559732282,0.22761991717640617,17,14,3,10
15541.749179999993,8974423.064887242,16390407.122990001,24539.045943789755,11865685.186384276,10512074.07295462,91908395.95183077,69338170.98392701,6123762.879646102,70502.58342228176,184347034.15810895,92438638.20627818,0.18302713513513505,0.18302713513513505,0.4985618367638271,23777122.25685484,8391925.502419356,84584163.73231122,17343312.705,26797954.75367084,69373.25082,453311.72194747697,0.0,0.995473487691815,0.38287424040255247,14,10,4,11
66159.24458,35237131.05093194,60449207.62178133,595609.7521740678,49957676.51468216,38769418.19707879,196943078.32453015,149841065.053738,20140930.112830013,2267511.72622164,201755132.77851263,4812054.453982472,0.7791231770594124,0.7791231770594124,0.9761490357756342,6428383.914112904,2268841.3814516133,22868178.564743,4688938.855,7245096.332881877,18755.75542,209063.4068670498,0.0,0.9988252174687158,0.23198043520674066,13,11,2,12
33478.10664,18279154.795144867,31998020.95317272,7152.390079735112,23196831.500136215,20522099.538083013,126731863.36064187,126520410.06019187,8940174.624269653,18022.655184792173,216340158.57047996,89608295.20983809,0.3942543324500971,0.3942543324500971,0.585799068457994,17629580.385483872,6222204.841935484,62715045.90627271,12859223.340000002,19869380.84402532,51436.89336,516924.9390770424,0.0,0.9974612999773782,0.2766447258813764,13,12,1,13
28087.36408999998,16197406.55205668,29553957.088173673,30691.32585749353,21479959.64051692,18954586.285049498,122375262.13496023,126820024.45236099,11663744.296223316,110755.3144323416,227359511.05936503,104984248.9244048,0.3307703478772888,0.3307703478772888,0.5382456250225102,19477213.920766134,6874310.795564517,69287773.07558224,14206908.977500005,21951752.265805967,56827.63591000002,0.0,0.0,0.9978667982261453,0.298997933845727,9,9,0,14
75146.28775999999,40262532.49125314,69411247.36790945,180040.19268541998,53678405.18023586,44517269.665875986,214265195.25243014,214098275.8683587,19212719.877942443,637247.701737107,249338675.94663534,35073480.694205195,0.8849589325796383,0.8849589325796383,0.8593339739170196,3348147.3403225834,1181699.0612903235,11910618.945995549,2442178.060000002,3773522.2944703107,9768.712240000008,131666.2122789498,0.0,0.9990885159348584,0.36583042979615593,12,10,2,15
47303.13857999999,25179621.682631865,43174811.23538756,1348374.1201207999,35174607.00699408,27690392.94671487,156499729.09344465,103037757.74878125,12350710.612107765,5117957.376511943,179446081.32167193,22946352.228227288,0.5570645772831654,0.5570645772831654,0.8721267577468351,12891162.180241939,4549821.945967743,45858710.771401614,9402965.355000002,14528956.74659546,37611.86142000001,189782.6326274074,0.0,0.9980410347902731,0.21601868797810161,15,13,2,16
40311.438979999984,22423507.762527492,39828490.32668784,2000130.1711727127,31478030.320346605,25544212.37901026,149655017.58248258,131324414.61203267,20117726.857001394,7520673.5647173505,228925696.1985084,79270678.61602584,0.47472695024436184,0.47472695024436184,0.6537274760659116,15287510.833467746,5395592.058870969,54383423.92442919,11150890.255000005,17229756.367737655,44603.561020000016,291946.4068600361,0.0,0.9978902391898136,0.20431670217081258,17,13,4,17
52330.59274000001,27339531.69045676,46140840.24680278,408503.91840754653,37112979.48241345,29592671.29993501,161327547.20206347,122575558.09536739,12322587.94689112,1513879.4193805158,188981533.05791473,27653985.855851263,0.616270302537832,0.616270302537832,0.8536683166424706,11168042.810887095,3941662.168548386,39728927.30587696,8146101.814999999,12586918.749047939,32584.407259999993,1672537.4795116796,0.0,0.9984577542425823,0.34046510948123065,17,11,6,18
50334.6368,27045716.19942867,46735174.460728064,18562.279526171696,34619533.81845146,29973850.683338515,160395857.95423108,151887922.83632016,11524106.52127093,46773.39457362338,217842752.1581611,57446894.20393002,0.5927649626096685,0.5927649626096685,0.736291918666995,11852140.612903226,4183108.4516129033,42162520.39883272,8645090.799999999,13357929.712758187,34580.3632,369288.39426044025,0.0,0.9981266513518731,0.18442058081469911,16,13,3,19
55766.33746,29224439.538172714,49452916.28824137,155767.27732345753,40245565.71704556,31716888.7413691,169342479.92051396,144176864.9006579,12481277.431943307,582982.4324986893,203850958.62597823,34508478.70546427,0.6567312896425838,0.6567312896425838,0.830717113433939,9990469.015725806,3526047.8879032256,35539854.56524763,7287165.634999999,11259736.723361755,29148.662539999998,1079510.2799048955,0.0,0.9987373313549897,0.25883498345911654,17,10,7,20
40866.3251,21602626.216109894,36826194.248648584,170508.03561280092,29054371.872263663,23618673.95129045,139299954.36346984,103522841.30391024,10101787.46400586,595910.7285800352,183380321.88133243,44080367.51786259,0.48126155685096866,0.48126155685096866,0.7596232405656507,15097328.090725806,5328468.737903225,53706872.40245067,11012168.725,17015411.31454443,44048.6749,355581.8916598375,0.0,0.9980088351505007,0.2407315330208978,15,11,4,21
46053.34041000001,23660231.909959733,39349301.572140545,924354.8145947855,31093471.534452785,25236882.143407844,144991393.86053115,97633878.64754364,13135332.987835689,3438211.278962522,175945056.92235807,30953663.061826915,0.5423463511747042,0.5423463511747042,0.82407199381858,13319520.42399193,4701007.208467741,47382542.10111558,9715414.897499997,15011736.98847544,38861.65958999999,1035571.4829086823,0.0,0.9984951443060252,0.41053192295649316,13,9,4,22
55893.29635999999,30195567.675555274,52408955.19258746,1209243.4879489867,41278194.72742733,33612759.88671944,177170841.08623856,135240943.89812717,16386368.288578616,4589299.560611094,202357277.4045997,25186436.318361133,0.6582264188894776,0.6582264188894776,0.8755348132698852,9946954.876612905,3510689.9564516135,35385058.411716685,7255425.910000002,11210694.206000082,29021.703640000007,808652.3689532046,0.0,0.9985962967426535,0.2716984972448679,18,11,7,23
52539.75381,27393733.427036203,46152150.78889019,566699.2870268689,37725108.52459121,29599925.375769492,162037551.58862543,112351121.66613096,14876691.94878091,2133883.3945705066,180448881.6653326,18411330.076707155,0.6187334841900725,0.6187334841900725,0.8979692758038063,11096354.540927418,3916360.426209677,39473905.17584576,8093811.547499999,12506122.637811456,32375.246189999998,516924.9390770424,0.0,0.9984709202248305,0.2049396949152768,12,11,1,24
37261.220929999996,19556052.770842604,33134743.23659482,154963.0337071045,26967774.750069298,21251142.371128358,131386135.55024292,95302423.53509426,9419243.89692585,576194.7916573707,180281115.53387108,48894979.98362817,0.43880611116999346,0.43880611116999346,0.7287847934663916,16332948.471572582,5764570.048790323,58102438.67306584,11913444.767500002,18408014.620400723,47653.779070000004,547866.1655551695,0.0,0.9981237335542983,0.1878150088573448,15,10,5,25
30385.15593999998,17264443.116673917,31160580.296344656,1203842.2421791516,23851256.392251488,19985002.555059783,128161731.76277402,110111965.46117961,13207505.056342933,4568047.102539412,213102728.35326415,84940996.59049013,0.35783025307660576,0.35783025307660576,0.601408216371205,18689664.29475807,6596352.10403226,66486162.94825146,13632461.015000004,21064146.145265028,54529.84406000002,39383.49019264427,0.0,0.997968787382572,0.2722061455650318,11,10,1,26
59019.71670999999,31938559.818916753,55510178.37560795,365148.03124551947,43064992.15927267,35601745.73509101,182957444.97126812,170270752.46276268,15077857.225540087,1321210.0868088084,228449605.02256182,45492160.0512937,0.6950446530059471,0.6950446530059471,0.8008656655510484,8875399.514717745,3132493.9463709686,31573133.099659797,6473820.822500002,10003000.028634217,25895.283290000007,1331252.633072703,0.0,0.9983064968257167,0.16197351027181944,22,14,8,27
26447.093569999997,14662959.227500161,25978065.259696,128930.42105085947,19014621.597489867,16661169.196885487,113648089.04056962,112348708.60484695,8703514.714230264,483723.55832068145,213255863.53695285,99607774.49638323,0.31145373102514273,0.31145373102514273,0.5329189413864662,20039403.413508065,7072730.616532258,71287692.47663419,14616976.6075,22585366.73044725,58467.90643,392820.7694126856,0.0,0.9963600866773704,0.2114633438696931,19,14,5,28
