Total population supplied (inhab),Benefit wastewater (Total with PV summed),Total benefit reclaimed wastewater (total PV),Total benefit freshwater management (total PV),Total benefits of energy savings (total PV),Total benefits of environmental savings (total PV),Total benefits  (ILS),Total costs with wastewater (ILS PV),Total costs with reclaimed ww management (ILS),Total costs with costs freshwater in the buffer (ILS),Total costs (ILS),Costs - benefits (ILS),Coverage (region),Coverage (town),Benefits/costs,Onsite construction costs ,Onsite OeM costs (year) ,Onsite OeM costs (total) ,Benefits onsite treatment (connection fee) ,Benefits onsite treatment (sanitation fee) ,Population supplied with onsite treatment (inhabitants),Total wastewater pumping costs (ILS PV),Total land purchase costs at each WWPS (ILS) ,Centralization degree Eggiman,Centralization degree Huang,Number activated,Number WWTP,Number WWPS,idx_evaluation
47030.50350000001,24469787.657070726,41150894.252268076,1317682.7942633063,32213532.290699035,26392343.11278361,149649636.2471986,126965444.74566337,12500749.709476417,5007202.062079601,203649126.5178747,53999490.27067608,0.5538538950715423,0.5538538950715423,0.734840550539084,12984605.655241929,4582801.99596774,46191124.345413364,9471124.124999996,14634272.015113864,37884.49649999999,0.0,0.0,0.9979198888568107,0.2414218869770123,13,13,0,0
40327.51655000001,21084546.996994335,35607449.801094115,1803662.861035094,28518501.48109438,22837025.77058573,138221603.5917544,107041936.92052875,14238637.690710593,6823099.296103018,197749495.43874073,59527891.84698632,0.4749162874639346,0.4749162874639346,0.6989732301722762,15282000.376008062,5393647.191532257,54363821.15539032,11146870.862499997,17223545.818450764,44587.48344999999,0.0,0.0,0.9975691781728874,0.16700001148689192,14,14,0,1
37390.36552999998,21038140.326734334,37695240.96394566,1211293.2845270415,27658673.60270612,24176041.646644816,142018676.23855218,175868196.38148862,17081814.522218045,4593367.3190822825,271777041.00293326,129758364.76438108,0.4403269802743918,0.4403269802743918,0.5225558263290511,16288685.201411298,5748947.718145164,57944977.578733034,11881158.617500003,18358127.796494197,47524.63447000002,0.0,0.0,0.9969082895582436,0.18145242127706487,18,18,0,2
41036.174709999985,22818946.764858976,40520339.350327834,1333525.9745116432,30422768.047434606,25987933.400046024,149003020.55183077,154007256.2893545,12319331.865310557,5053668.861227287,239919151.7615825,90916131.20975173,0.4832617877877876,0.4832617877877876,0.6210551323551743,15039113.50665323,5307922.414112905,53499781.239036925,10969706.322500004,16949800.69215168,43878.825290000015,0.0,0.0,0.9979969564928436,0.17504669242931137,13,13,0,3
73278.07898,39302160.47867241,67813215.4337246,1820442.888712667,52689191.90952128,43492363.45475841,212521790.6669606,229685256.1394938,26104896.63937904,6892255.78474883,280859324.1871003,68337533.5201397,0.8629580048283578,0.8629580048283578,0.7566841203583641,3988460.83346774,1407692.058870967,14188454.790010855,2909230.2549999985,4495186.24657124,11636.921019999994,0.0,0.0,0.9979577711523802,0.17715069745082035,21,21,0,4
73131.8789,38930970.32959893,66757620.42016775,391057.65059281763,54502295.292702496,42815352.02421337,210894737.3655347,180773995.2664605,21427502.33835613,1470462.4480520496,222077240.7665407,11182503.401006013,0.8612362821645174,0.8612362821645174,0.949645882836046,4038569.7318548397,1425377.5524193551,14366710.981817171,2945780.275000001,4551661.373259318,11783.121100000004,0.0,0.0,0.9983888762770545,0.20070503886481528,17,17,0,5
69394.58299,36892411.35080826,63191891.64451307,252956.3552827844,48822415.22913033,40528453.063590735,199563560.46809062,215466385.12854034,18042729.00868644,937708.3840499875,258689773.89536557,59126213.42727494,0.817224082788671,0.817224082788671,0.7714396957523716,5319497.765524195,1877469.7995967746,18923453.60856463,3880104.2525000013,5995328.572265446,15520.417010000005,0.0,0.0,0.9980168078414069,0.11490284256433221,20,20,0,6
55820.88336000001,29392743.084541768,49940470.750915445,577551.2270937247,37968999.67478925,32029584.368010398,168421544.64037317,158129972.5623275,15668018.434539147,2175175.73211261,221418289.40326932,52996744.76289615,0.6573736484720015,0.6573736484720015,0.760648748096987,9971773.848387094,3519449.593548386,35473348.82590297,7273529.159999998,11238666.37502258,29094.116639999993,0.0,0.0,0.9979132729603947,0.25831054111389073,16,16,0,7
55067.96764000001,28700471.405436337,48337005.13034167,140644.88796803218,38512717.89724865,31001193.233462866,165683298.24660152,134840587.00485805,13339601.572099466,508951.44046430435,195310319.95724714,29627021.710645616,0.6485069497733028,0.6485069497733028,0.848307955682368,10229829.639516126,3610528.108064515,36391350.30030917,7461758.089999998,11529507.602143949,29847.03235999999,0.0,0.0,0.9975502007237446,0.17772571531894152,18,18,0,8
74534.70399999998,40023376.8466981,69124600.10751444,530268.1248170142,53896066.437031165,44333426.93326593,214512581.33358246,238311563.1370555,23779515.01860923,1999561.2931848676,280304701.9327705,65792120.59918803,0.8777566272154506,0.8777566272154506,0.7652835641159959,3557762.7419354897,1255680.9677419376,12656299.741985431,2595074.000000004,4009768.884255824,10380.296000000017,0.0,0.0,0.998040805583866,0.13676450811308022,20,20,0,9
