idx_archive,idx_evaluation,idx_generation_birth,idx_generation
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,0,0
34,34,0,0
35,35,0,0
36,36,0,0
37,37,0,0
38,38,0,0
39,39,0,0
40,40,0,0
41,41,0,0
42,42,0,0
43,43,0,0
44,44,0,0
45,45,0,0
46,46,0,0
47,47,0,0
48,48,0,0
49,49,0,0
50,50,0,0
51,51,0,0
52,52,0,0
53,53,0,0
54,54,0,0
55,55,0,0
56,56,0,0
57,57,0,0
58,58,0,0
59,59,0,0
60,60,0,0
61,61,0,0
62,62,0,0
63,63,0,0
64,64,0,0
65,65,0,0
66,66,0,0
67,67,0,0
68,68,0,0
69,69,0,0
70,70,0,0
71,71,0,0
72,72,0,0
73,73,0,0
74,74,0,0
75,75,0,0
76,76,0,0
77,77,0,0
78,78,0,0
79,79,0,0
80,80,0,0
81,81,0,0
82,82,0,0
83,83,0,0
84,84,0,0
85,85,0,0
86,86,0,0
87,87,0,0
88,88,0,0
89,89,0,0
90,90,0,0
91,91,0,0
92,92,0,0
93,93,0,0
94,94,0,0
95,95,0,0
96,96,0,0
97,97,0,0
98,98,0,0
99,99,0,0
100,155,1,1
101,193,1,1
102,93,0,1
103,28,0,1
104,45,0,1
105,188,1,1
106,143,1,1
107,133,1,1
108,26,0,1
109,85,0,1
110,64,0,1
111,156,1,1
112,33,0,1
113,112,1,1
114,15,0,1
115,9,0,1
116,180,1,1
117,77,0,1
118,199,1,1
119,127,1,1
120,105,1,1
121,107,1,1
122,168,1,1
123,83,0,1
124,183,1,1
125,145,1,1
126,20,0,1
127,187,1,1
128,153,1,1
129,135,1,1
130,125,1,1
131,115,1,1
132,69,0,1
133,97,0,1
134,170,1,1
135,114,1,1
136,142,1,1
137,110,1,1
138,62,0,1
139,120,1,1
140,35,0,1
141,147,1,1
142,82,0,1
143,176,1,1
144,59,0,1
145,190,1,1
146,118,1,1
147,4,0,1
148,137,1,1
149,100,1,1
150,86,0,1
151,68,0,1
152,136,1,1
153,139,1,1
154,173,1,1
155,164,1,1
156,146,1,1
157,88,0,1
158,50,0,1
159,63,0,1
160,94,0,1
161,182,1,1
162,103,1,1
163,74,0,1
164,111,1,1
165,167,1,1
166,198,1,1
167,60,0,1
168,124,1,1
169,175,1,1
170,109,1,1
171,134,1,1
172,141,1,1
173,30,0,1
174,116,1,1
175,57,0,1
176,43,0,1
177,32,0,1
178,177,1,1
179,161,1,1
180,148,1,1
181,197,1,1
182,56,0,1
183,29,0,1
184,150,1,1
185,79,0,1
186,174,1,1
187,11,0,1
188,47,0,1
189,163,1,1
190,17,0,1
191,1,0,1
192,21,0,1
193,122,1,1
194,144,1,1
195,130,1,1
196,149,1,1
197,8,0,1
198,13,0,1
199,171,1,1
200,215,2,2
201,155,1,2
202,284,2,2
203,188,1,2
204,206,2,2
205,222,2,2
206,45,0,2
207,28,0,2
208,229,2,2
209,193,1,2
210,85,0,2
211,290,2,2
212,93,0,2
213,143,1,2
214,33,0,2
215,156,1,2
216,133,1,2
217,9,0,2
218,253,2,2
219,105,1,2
220,127,1,2
221,26,0,2
222,107,1,2
223,64,0,2
224,183,1,2
225,187,1,2
226,180,1,2
227,15,0,2
228,199,1,2
229,145,1,2
230,20,0,2
231,77,0,2
232,273,2,2
233,112,1,2
234,168,1,2
235,110,1,2
236,255,2,2
237,83,0,2
238,35,0,2
239,176,1,2
240,59,0,2
241,201,2,2
242,153,1,2
243,125,1,2
244,231,2,2
245,209,2,2
246,115,1,2
247,170,1,2
248,97,0,2
249,69,0,2
250,142,1,2
251,62,0,2
252,120,1,2
253,118,1,2
254,147,1,2
255,210,2,2
256,136,1,2
257,114,1,2
258,135,1,2
259,190,1,2
260,236,2,2
261,146,1,2
262,88,0,2
263,164,1,2
264,283,2,2
265,4,0,2
266,86,0,2
267,137,1,2
268,279,2,2
269,82,0,2
270,103,1,2
271,247,2,2
272,139,1,2
273,68,0,2
274,234,2,2
275,50,0,2
276,173,1,2
277,109,1,2
278,211,2,2
279,205,2,2
280,204,2,2
281,241,2,2
282,200,2,2
283,182,1,2
284,246,2,2
285,100,1,2
286,116,1,2
287,258,2,2
288,74,0,2
289,294,2,2
290,230,2,2
291,167,1,2
292,207,2,2
293,175,1,2
294,141,1,2
295,293,2,2
296,30,0,2
297,223,2,2
298,63,0,2
299,278,2,2
300,215,2,3
301,155,1,3
302,284,2,3
303,188,1,3
304,206,2,3
305,222,2,3
306,45,0,3
307,28,0,3
308,229,2,3
309,330,3,3
310,193,1,3
311,391,3,3
312,290,2,3
313,133,1,3
314,143,1,3
315,331,3,3
316,105,1,3
317,355,3,3
318,33,0,3
319,368,3,3
320,253,2,3
321,85,0,3
322,338,3,3
323,127,1,3
324,356,3,3
325,377,3,3
326,388,3,3
327,389,3,3
328,93,0,3
329,15,0,3
330,199,1,3
331,365,3,3
332,77,0,3
333,315,3,3
334,180,1,3
335,187,1,3
336,328,3,3
337,326,3,3
338,20,0,3
339,183,1,3
340,363,3,3
341,26,0,3
342,107,1,3
343,64,0,3
344,156,1,3
345,9,0,3
346,273,2,3
347,153,1,3
348,201,2,3
349,209,2,3
350,112,1,3
351,302,3,3
352,176,1,3
353,398,3,3
354,142,1,3
355,396,3,3
356,115,1,3
357,231,2,3
358,35,0,3
359,83,0,3
360,346,3,3
361,359,3,3
362,168,1,3
363,110,1,3
364,255,2,3
365,120,1,3
366,329,3,3
367,125,1,3
368,118,1,3
369,395,3,3
370,190,1,3
371,145,1,3
372,136,1,3
373,135,1,3
374,146,1,3
375,170,1,3
376,301,3,3
377,69,0,3
378,97,0,3
379,114,1,3
380,236,2,3
381,62,0,3
382,4,0,3
383,283,2,3
384,86,0,3
385,147,1,3
386,68,0,3
387,103,1,3
388,210,2,3
389,82,0,3
390,247,2,3
391,50,0,3
392,361,3,3
393,173,1,3
394,59,0,3
395,384,3,3
396,354,3,3
397,211,2,3
398,109,1,3
399,357,3,3
400,215,2,4
401,155,1,4
402,404,4,4
403,459,4,4
404,284,2,4
405,484,4,4
406,411,4,4
407,435,4,4
408,495,4,4
409,45,0,4
410,28,0,4
411,229,2,4
412,222,2,4
413,330,3,4
414,193,1,4
415,391,3,4
416,290,2,4
417,133,1,4
418,407,4,4
419,206,2,4
420,400,4,4
421,474,4,4
422,33,0,4
423,331,3,4
424,368,3,4
425,355,3,4
426,85,0,4
427,448,4,4
428,356,3,4
429,377,3,4
430,388,3,4
431,445,4,4
432,188,1,4
433,389,3,4
434,93,0,4
435,328,3,4
436,199,1,4
437,365,3,4
438,143,1,4
439,315,3,4
440,363,3,4
441,408,4,4
442,183,1,4
443,468,4,4
444,26,0,4
445,107,1,4
446,64,0,4
447,156,1,4
448,20,0,4
449,9,0,4
450,15,0,4
451,273,2,4
452,180,1,4
453,302,3,4
454,112,1,4
455,465,4,4
456,35,0,4
457,77,0,4
458,201,2,4
459,253,2,4
460,105,1,4
461,346,3,4
462,481,4,4
463,338,3,4
464,127,1,4
465,491,4,4
466,168,1,4
467,412,4,4
468,329,3,4
469,118,1,4
470,187,1,4
471,326,3,4
472,69,0,4
473,231,2,4
474,142,1,4
475,145,1,4
476,153,1,4
477,498,4,4
478,83,0,4
479,494,4,4
480,209,2,4
481,490,4,4
482,114,1,4
483,434,4,4
484,135,1,4
485,359,3,4
486,471,4,4
487,398,3,4
488,396,3,4
489,110,1,4
490,62,0,4
491,255,2,4
492,430,4,4
493,120,1,4
494,146,1,4
495,176,1,4
496,59,0,4
497,423,4,4
498,190,1,4
499,97,0,4
500,215,2,5
501,155,1,5
502,404,4,5
503,506,5,5
504,484,4,5
505,284,2,5
506,435,4,5
507,542,5,5
508,495,4,5
509,45,0,5
510,28,0,5
511,229,2,5
512,411,4,5
513,222,2,5
514,552,5,5
515,590,5,5
516,290,2,5
517,391,3,5
518,459,4,5
519,521,5,5
520,407,4,5
521,400,4,5
522,540,5,5
523,331,3,5
524,355,3,5
525,448,4,5
526,578,5,5
527,193,1,5
528,567,5,5
529,504,5,5
530,562,5,5
531,33,0,5
532,536,5,5
533,188,1,5
534,474,4,5
535,517,5,5
536,315,3,5
537,93,0,5
538,206,2,5
539,368,3,5
540,589,5,5
541,330,3,5
542,356,3,5
543,508,5,5
544,445,4,5
545,328,3,5
546,199,1,5
547,565,5,5
548,559,5,5
549,408,4,5
550,585,5,5
551,500,5,5
552,156,1,5
553,253,2,5
554,346,3,5
555,85,0,5
556,365,3,5
557,519,5,5
558,143,1,5
559,133,1,5
560,468,4,5
561,377,3,5
562,26,0,5
563,388,3,5
564,533,5,5
565,580,5,5
566,273,2,5
567,389,3,5
568,180,1,5
569,112,1,5
570,302,3,5
571,77,0,5
572,513,5,5
573,64,0,5
574,538,5,5
575,595,5,5
576,481,4,5
577,201,2,5
578,9,0,5
579,105,1,5
580,338,3,5
581,127,1,5
582,107,1,5
583,168,1,5
584,557,5,5
585,183,1,5
586,491,4,5
587,412,4,5
588,187,1,5
589,511,5,5
590,507,5,5
591,15,0,5
592,465,4,5
593,326,3,5
594,498,4,5
595,556,5,5
596,153,1,5
597,434,4,5
598,554,5,5
599,135,1,5
600,215,2,6
601,155,1,6
602,404,4,6
603,484,4,6
604,651,6,6
605,284,2,6
606,495,4,6
607,45,0,6
608,659,6,6
609,542,5,6
610,229,2,6
611,435,4,6
612,28,0,6
613,667,6,6
614,616,6,6
615,222,2,6
616,411,4,6
617,552,5,6
618,590,5,6
619,290,2,6
620,391,3,6
621,521,5,6
622,646,6,6
623,400,4,6
624,407,4,6
625,540,5,6
626,506,5,6
627,331,3,6
628,689,6,6
629,355,3,6
630,448,4,6
631,578,5,6
632,193,1,6
633,567,5,6
634,611,6,6
635,459,4,6
636,536,5,6
637,188,1,6
638,610,6,6
639,315,3,6
640,368,3,6
641,517,5,6
642,33,0,6
643,642,6,6
644,589,5,6
645,330,3,6
646,356,3,6
647,445,4,6
648,623,6,6
649,562,5,6
650,601,6,6
651,500,5,6
652,622,6,6
653,93,0,6
654,559,5,6
655,156,1,6
656,133,1,6
657,565,5,6
658,346,3,6
659,609,6,6
660,694,6,6
661,85,0,6
662,504,5,6
663,474,4,6
664,206,2,6
665,377,3,6
666,26,0,6
667,519,5,6
668,670,6,6
669,533,5,6
670,508,5,6
671,580,5,6
672,328,3,6
673,408,4,6
674,253,2,6
675,77,0,6
676,538,5,6
677,365,3,6
678,647,6,6
679,585,5,6
680,338,3,6
681,481,4,6
